"","time","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","light_mode"
"468",15,"stationary_control",4,"5","amber","flashing",2,"left","right","blonde","14","off"
"488",15,"stationary_light",2,"4","blue","flashing",2,"right","left","blonde","14","off"
"575",15,"stationary_light",2,"6","red","flashing",2,"right","left","blonde","14","off"
"595",15.314,"stationary_light",2,"3","royalblue","flashing",2,"left","right","blonde","14","off"
"604",138.51,"stationary_light_stop",6,"3","royalblue","flashing",2,"left","right","blonde","14","off"
"6110",175.755,"stationary_light",2,"3","royalblue","flashing",2,"left","right","blonde","14","off"
"623",188.855,"stationary_light_stop",6,"3","royalblue","flashing",2,"left","right","blonde","14","off"
"633",215.289,"stationary_control",4,"3","royalblue","flashing",2,"left","right","blonde","14","off"
"682",257.595,"stationary_control",4,"2","white","flashing",2,"right","left","blonde","14","off"
"692",286.554,"stationary_control_stop",8,"2","white","flashing",2,"right","left","blonde","14","off"
"1120",15.099,"stationary_control",4,"4","amber","continuous",2,"left","right","blonde","15","off"
"2105",55.334,"stationary_control_stop",8,"4","amber","continuous",2,"left","right","blonde","15","off"
"340",237.031,"stationary_control",4,"4","amber","continuous",2,"left","right","blonde","15","off"
"439",245.303,"stationary_control_stop",8,"4","amber","continuous",2,"left","right","blonde","15","off"
"1720",15.536,"stationary_light",2,"6","green","continuous",2,"left","right","blonde","15","off"
"1920",29.888,"stationary_control",4,"5","red","continuous",2,"right","left","blonde","15","off"
"2120",15.727,"stationary_light",2,"3","royalblue","continuous",2,"right","left","blonde","15","off"
"2220",31.515,"stationary_light_stop",6,"3","royalblue","continuous",2,"right","left","blonde","15","off"
"2420",169.463,"stationary_light",2,"3","royalblue","continuous",2,"right","left","blonde","15","off"
"2519",181.252,"stationary_light_stop",6,"3","royalblue","continuous",2,"right","left","blonde","15","off"
"2619",276.199,"stationary_light",2,"3","royalblue","continuous",2,"right","left","blonde","15","off"
"4114",15,"stationary_light",2,"5","amber","flashing",1,"right","left","blonde","15","off"
"449",67.759,"stationary_control",4,"2","blue","flashing",1,"left","right","blonde","15","off"
"479",15,"stationary_control",4,"6","green","flashing",1,"left","right","blonde","15","off"
"499",15,"stationary_light",2,"3","red","flashing",1,"right","left","blonde","15","off"
"6111",15,"stationary_control",4,"4","white","flashing",1,"left","right","blonde","15","off"
"1122",22.798,"stationary_control",4,"3","amber","continuous",1,"left","right","blonde","16","off"
"350",200.246,"stationary_control",4,"1","blue","continuous",1,"left","right","blonde","16","off"
"440",271.334,"stationary_control_stop",8,"1","blue","continuous",1,"left","right","blonde","16","off"
"1421",15,"stationary_control",4,"5","green","continuous",1,"left","right","blonde","16","off"
"1621",15,"stationary_light",2,"4","red","continuous",1,"right","left","blonde","16","off"
"1821",15,"stationary_light",2,"6","royalblue","continuous",1,"right","left","blonde","16","off"
"2021",15.785,"stationary_light",2,"2","white","continuous",2,"right","left","blonde","16","off"
"2121",119.941,"stationary_light_stop",6,"2","white","continuous",2,"right","left","blonde","16","off"
"2221",213.906,"stationary_light",2,"2","white","continuous",2,"right","left","blonde","16","off"
"2321",230.021,"stationary_light_stop",6,"2","white","continuous",2,"right","left","blonde","16","off"
"2720",15,"stationary_control",4,"3","amber","flashing",2,"left","right","blonde","16","off"
"2916",15,"stationary_control",4,"5","blue","flashing",2,"left","right","blonde","16","off"
"3115",15,"stationary_light",2,"4","green","flashing",2,"right","left","blonde","16","off"
"3312",15.387,"stationary_light",2,"2","red","flashing",2,"right","left","blonde","16","off"
"3411",113.727,"stationary_light_stop",6,"2","red","flashing",2,"right","left","blonde","16","off"
"3911",15,"stationary_light",2,"6","royalblue","flashing",2,"left","right","blonde","16","off"
"1124",15,"stationary_light",2,"1","amber","continuous",2,"right","left","spotted","17","off"
"360",15,"stationary_light",2,"5","blue","continuous",2,"right","left","spotted","17","off"
"538",15,"stationary_control",4,"6","green","continuous",2,"left","right","spotted","17","off"
"725",15,"stationary_light",2,"3","red","continuous",2,"right","left","spotted","17","off"
"922",15,"stationary_control",4,"2","royalblue","continuous",2,"left","right","spotted","17","off"
"1125",15,"stationary_control",4,"4","white","continuous",2,"left","right","spotted","17","off"
"1322",15,"stationary_control",4,"1","amber","flashing",1,"right","left","spotted","17","off"
"1522",15,"stationary_light",2,"6","blue","flashing",1,"left","right","spotted","17","off"
"1722",15,"stationary_light",2,"2","green","flashing",1,"left","right","spotted","17","off"
"1922",15,"stationary_light",2,"4","red","flashing",1,"left","right","spotted","17","off"
"2122",15,"stationary_control",4,"5","royalblue","flashing",1,"right","left","spotted","17","off"
"2322",15,"stationary_control",4,"1","white","flashing",1,"right","left","spotted","17","off"
"1126",15,"stationary_light",2,"4","amber","continuous",1,"right","left","spotted","18","off"
"370",15,"stationary_light",2,"6","blue","continuous",1,"right","left","spotted","18","off"
"539",15,"stationary_light",2,"2","green","continuous",1,"right","left","spotted","18","off"
"726",15,"stationary_control",4,"3","red","continuous",1,"left","right","spotted","18","off"
"923",15,"stationary_light",2,"5","royalblue","continuous",1,"left","right","spotted","18","off"
"1127",15,"stationary_control",4,"1","white","continuous",1,"left","right","spotted","18","off"
"1323",15,"stationary_control",4,"4","amber","flashing",2,"right","left","spotted","18","off"
"1523",15,"stationary_control",4,"6","blue","flashing",2,"right","left","spotted","18","off"
"1723",15,"stationary_light",2,"5","green","flashing",2,"left","right","spotted","18","off"
"1923",15,"stationary_light",2,"1","red","flashing",2,"left","right","spotted","18","off"
"2123",15,"stationary_control",4,"2","royalblue","flashing",2,"right","left","spotted","18","off"
"2323",15,"stationary_light",2,"3","white","flashing",2,"left","right","spotted","18","off"
"3012",15.471,"stationary_control",4,"6","red","continuous",2,"left","right","blonde","19","off"
"3116",106.735,"stationary_control_stop",8,"6","red","continuous",2,"left","right","blonde","19","off"
"3214",150.611,"stationary_control",4,"6","red","continuous",2,"left","right","blonde","19","off"
"3313",172.566,"stationary_control_stop",8,"6","red","continuous",2,"left","right","blonde","19","off"
"5310",15.299,"stationary_light",2,"4","amber","flashing",2,"left","right","blonde","19","off"
"547",95.266,"stationary_light_stop",6,"4","amber","flashing",2,"left","right","blonde","19","off"
"1141",279.02,"stationary_control",4,"3","royalblue","flashing",1,"right","left","blonde","19","off"
"1130",15,"stationary_control",4,"2","amber","continuous",1,"right","left","blonde","20","off"
"390",15.092,"stationary_light",2,"1","blue","continuous",1,"left","right","blonde","20","off"
"480",84.025,"stationary_light_stop",6,"1","blue","continuous",1,"left","right","blonde","20","off"
"630",181.104,"stationary_light",2,"1","blue","continuous",1,"left","right","blonde","20","off"
"825",15,"stationary_control",4,"6","green","continuous",1,"right","left","blonde","20","off"
"1026",15,"stationary_control",4,"4","red","continuous",1,"right","left","blonde","20","off"
"1226",15,"stationary_light",2,"5","royalblue","continuous",1,"left","right","blonde","20","off"
"1425",15,"stationary_light",2,"3","white","continuous",1,"left","right","blonde","20","off"
"1625",15.535,"stationary_light",2,"2","amber","flashing",2,"right","left","blonde","20","off"
"1825",15.451,"stationary_control",4,"3","blue","flashing",2,"left","right","blonde","20","off"
"1925",277.231,"stationary_control_stop",8,"3","blue","flashing",2,"left","right","blonde","20","off"
"2425",15.934,"stationary_light",2,"5","green","flashing",2,"right","left","blonde","20","off"
"2622",15.942,"stationary_light",2,"1","red","flashing",2,"left","right","blonde","20","off"
"2722",27.013,"stationary_light_stop",6,"1","red","flashing",2,"left","right","blonde","20","off"
"3215",180.947,"stationary_control",4,"1","red","flashing",2,"left","right","blonde","20","off"
"3513",15,"stationary_control",4,"6","royalblue","flashing",2,"left","right","blonde","20","off"
"3813",285.773,"stationary_control",4,"4","white","flashing",2,"left","right","blonde","20","off"
"1133",199.987,"stationary_control",4,"1","amber","continuous",2,"right","left","spotted","21","off"
"2127",208.034,"stationary_control_stop",8,"1","amber","continuous",2,"right","left","spotted","21","off"
"3100",259.628,"stationary_control",4,"1","amber","continuous",2,"right","left","spotted","21","off"
"490",263.233,"stationary_control_stop",8,"1","amber","continuous",2,"right","left","spotted","21","off"
"549",289.382,"stationary_control",4,"1","amber","continuous",2,"right","left","spotted","21","off"
"635",291.034,"stationary_control_stop",8,"1","amber","continuous",2,"right","left","spotted","21","off"
"1726",15.633,"stationary_control",4,"3","blue","continuous",2,"right","left","spotted","21","off"
"1826",34.073,"stationary_control_stop",8,"3","blue","continuous",2,"right","left","spotted","21","off"
"1926",53.967,"stationary_control",4,"3","blue","continuous",2,"right","left","spotted","21","off"
"2026",110.434,"stationary_control_stop",8,"3","blue","continuous",2,"right","left","spotted","21","off"
"2326",155.033,"stationary_control",4,"3","blue","continuous",2,"right","left","spotted","21","off"
"2426",185.466,"stationary_control_stop",8,"3","blue","continuous",2,"right","left","spotted","21","off"
"2523",260.267,"stationary_control",4,"3","blue","continuous",2,"right","left","spotted","21","off"
"2623",292.633,"stationary_control_stop",8,"3","blue","continuous",2,"right","left","spotted","21","off"
"3414",15.466,"stationary_light",2,"5","green","continuous",2,"right","left","spotted","21","off"
