"","time","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","trial_number","light_mode"
"185",418.967,"stationary_light",1,1,"red","continuous",2,"right","left",3,"on"
"186",462.703,"stationary_light_stop",5,1,"red","continuous",2,"right","left",3,"on"
"190",321.018,"stationary_light",1,2,"blue","flashing",1,"left","right",3,"on"
"191",325.301,"stationary_light_stop",5,2,"blue","flashing",1,"left","right",3,"on"
"198",315.237,"stationary_control_stop",7,1,"red","flashing",1,"right","left",3,"on"
"199",378.547,"stationary_control",3,1,"red","flashing",1,"right","left",3,"on"
"200",395.167,"stationary_control_stop",7,1,"red","flashing",1,"right","left",3,"on"
"210",315.12,"stationary_control",3,5,"amber","continuous",2,"right","left",5,"on"
"211",360.067,"stationary_control_stop",7,5,"amber","continuous",2,"right","left",5,"on"
"213",512.166,"stationary_control",3,5,"amber","continuous",2,"right","left",5,"on"
"214",539.766,"stationary_control_stop",7,5,"amber","continuous",2,"right","left",5,"on"
"215",559.699,"stationary_control",3,5,"amber","continuous",2,"right","left",5,"on"
"216",394.266,"stationary_control_stop",7,1,"blue","continuous",2,"right","left",5,"on"
"224",596.833,"stationary_control",3,1,"blue","continuous",2,"right","left",5,"on"
"225",341.166,"stationary_light_stop",5,4,"green","continuous",2,"left","right",5,"on"
"228",523.366,"stationary_light",1,4,"green","continuous",2,"left","right",5,"on"
"229",543.867,"stationary_light_stop",5,4,"green","continuous",2,"left","right",5,"on"
"230",564.667,"stationary_light",1,4,"green","continuous",2,"left","right",5,"on"
"231",569.599,"stationary_light_stop",5,4,"green","continuous",2,"left","right",5,"on"
"232",375.602,"stationary_light_stop",5,6,"red","continuous",2,"left","right",5,"on"
"233",416.733,"stationary_light",1,6,"red","continuous",2,"left","right",5,"on"
"234",418.634,"stationary_light_stop",5,6,"red","continuous",2,"left","right",5,"on"
"235",438.966,"stationary_light",1,6,"red","continuous",2,"left","right",5,"on"
"236",478.267,"stationary_light_stop",5,6,"red","continuous",2,"left","right",5,"on"
"239",569.533,"stationary_light",1,6,"red","continuous",2,"left","right",5,"on"
"240",390.534,"stationary_control_stop",7,3,"royalblue","continuous",2,"right","left",5,"on"
"243",471.434,"stationary_control",3,3,"royalblue","continuous",2,"right","left",5,"on"
"244",543.534,"stationary_control_stop",7,3,"royalblue","continuous",2,"right","left",5,"on"
"245",568.266,"stationary_control",3,3,"royalblue","continuous",2,"right","left",5,"on"
"246",316.367,"stationary_light",1,2,"white","continuous",2,"left","right",5,"on"
"247",320.368,"stationary_light_stop",5,2,"white","continuous",2,"left","right",5,"on"
"254",492.867,"stationary_light",1,2,"white","continuous",2,"left","right",5,"on"
"255",500.334,"stationary_light_stop",5,2,"white","continuous",2,"left","right",5,"on"
"257",301.202,"stationary_light",1,6,"amber","flashing",1,"left","right",5,"on"
"258",340.868,"stationary_light_stop",5,6,"amber","flashing",1,"left","right",5,"on"
"259",363.967,"stationary_light",1,6,"amber","flashing",1,"left","right",5,"on"
"260",392.47,"stationary_light_stop",5,6,"amber","flashing",1,"left","right",5,"on"
"261",437.401,"stationary_control",3,6,"amber","flashing",1,"left","right",5,"on"
"262",444.936,"stationary_control_stop",7,6,"amber","flashing",1,"left","right",5,"on"
"264",488.299,"stationary_light",1,6,"amber","flashing",1,"left","right",5,"on"
"265",526.1,"stationary_light_stop",5,6,"amber","flashing",1,"left","right",5,"on"
"270",331.203,"stationary_control_stop",7,4,"green","flashing",1,"left","right",5,"on"
"272",384.133,"stationary_light",1,4,"green","flashing",1,"left","right",5,"on"
"273",316.237,"stationary_light",1,5,"red","flashing",1,"right","left",5,"on"
"274",383.269,"stationary_light_stop",5,5,"red","flashing",1,"right","left",5,"on"
"277",462.371,"stationary_light",1,5,"red","flashing",1,"right","left",5,"on"
"278",468.799,"stationary_light_stop",5,5,"red","flashing",1,"right","left",5,"on"
"281",555.769,"stationary_control",3,5,"red","flashing",1,"right","left",5,"on"
"283",409.834,"stationary_light",1,3,"royalblue","flashing",1,"right","left",5,"on"
"284",558.301,"stationary_light_stop",5,3,"royalblue","flashing",1,"right","left",5,"on"
"287",15.199,"stationary_light_stop",5,4,"amber","continuous",1,"right","left",8,"on"
"300",423.833,"stationary_control",3,2,"blue","continuous",1,"right","left",10,"on"
"301",315,"stationary_control",3,1,"green","continuous",1,"left","right",10,"on"
"302",420.866,"stationary_control_stop",7,1,"green","continuous",1,"left","right",10,"on"
"304",451.9,"stationary_light",1,1,"green","continuous",1,"left","right",10,"on"
"305",455.367,"stationary_light_stop",5,1,"green","continuous",1,"left","right",10,"on"
"310",295.852,"stationary_control",3,2,"green","flashing",2,"right","left",10,"on"
"311",362.266,"stationary_control_stop",7,2,"green","flashing",2,"right","left",10,"on"
"316",599.833,"stationary_control",3,2,"green","flashing",2,"right","left",10,"on"
"319",450.699,"stationary_light",1,1,"red","flashing",2,"left","right",10,"on"
"320",456.567,"stationary_light_stop",5,1,"red","flashing",2,"left","right",10,"on"
"325",318.035,"stationary_control",3,4,"blue","continuous",1,"left","right",13,"on"
"326",332.999,"stationary_control_stop",7,4,"blue","continuous",1,"left","right",13,"on"
"336",389.799,"stationary_light_stop",5,6,"red","continuous",1,"right","left",13,"on"
"337",451.966,"stationary_control",3,6,"red","continuous",1,"right","left",13,"on"
"338",468.234,"stationary_control_stop",7,6,"red","continuous",1,"right","left",13,"on"
"339",506.166,"stationary_control",3,6,"red","continuous",1,"right","left",13,"on"
"340",539.599,"stationary_control_stop",7,6,"red","continuous",1,"right","left",13,"on"
"342",327.667,"stationary_light_stop",5,3,"royalblue","continuous",1,"right","left",13,"on"
"346",457.767,"stationary_light",1,3,"royalblue","continuous",1,"right","left",13,"on"
"347",497.9,"stationary_light_stop",5,3,"royalblue","continuous",1,"right","left",13,"on"
"349",351.533,"stationary_control",3,6,"white","continuous",1,"left","right",13,"on"
"350",354.199,"stationary_control_stop",7,6,"white","continuous",1,"left","right",13,"on"
"355",497.366,"stationary_control",3,6,"white","continuous",1,"left","right",13,"on"
"356",502.166,"stationary_control_stop",7,6,"white","continuous",1,"left","right",13,"on"
"360",470.933,"stationary_control_stop",7,1,"blue","flashing",2,"right","left",13,"on"
"365",588.367,"stationary_light",1,1,"blue","flashing",2,"right","left",13,"on"
"366",355.499,"stationary_light_stop",5,2,"red","flashing",2,"left","right",13,"on"
"368",404.566,"stationary_light",1,2,"red","flashing",2,"left","right",13,"on"
"369",409.499,"stationary_light_stop",5,2,"red","flashing",2,"left","right",13,"on"
"2",600.54,"END",0,5,"amber","continuous",2,"right","left",3,"on"
"13",600.399,"END",0,2,"blue","continuous",2,"left","right",3,"on"
"16",600.234,"END",0,4,"green","continuous",2,"left","right",3,"on"
"30",600.633,"END",0,1,"red","continuous",2,"right","left",3,"on"
"32",600.467,"END",0,6,"royalblue","continuous",2,"left","right",3,"on"
"341",600.405,"END",0,3,"white","continuous",2,"right","left",3,"on"
"361",599.933,"END",0,5,"amber","flashing",1,"right","left",3,"on"
"491",600.967,"END",0,2,"blue","flashing",1,"left","right",3,"on"
"541",599.567,"END",0,4,"green","flashing",1,"left","right",3,"on"
"711",600.566,"END",0,1,"red","flashing",1,"right","left",3,"on"
"781",600.872,"END",0,6,"royalblue","flashing",1,"left","right",3,"on"
"891",600.911,"END",0,3,"white","flashing",1,"right","left",3,"on"
"103",599.568,"END",0,5,"amber","continuous",2,"right","left",5,"on"
"114",599.335,"END",0,1,"blue","continuous",2,"right","left",5,"on"
"125",599.533,"END",0,4,"green","continuous",2,"left","right",5,"on"
"1401",599.469,"END",0,6,"red","continuous",2,"left","right",5,"on"
"1551",601.166,"END",0,3,"royalblue","continuous",2,"right","left",5,"on"
"174",599.335,"END",0,2,"white","continuous",2,"left","right",5,"on"
"193",600.737,"END",0,6,"amber","flashing",1,"left","right",5,"on"
"203",600.868,"END",0,1,"blue","flashing",1,"right","left",5,"on"
"2111",600.875,"END",0,4,"green","flashing",1,"left","right",5,"on"
"2241",600.776,"END",0,5,"red","flashing",1,"right","left",5,"on"
"2291",589,"END",0,3,"royalblue","flashing",1,"right","left",5,"on"
"2311",602.105,"END",0,2,"white","flashing",2,"left","right",5,"on"
"2331",599.834,"END",0,4,"amber","continuous",1,"right","left",8,"on"
"2361",600,"END",0,3,"blue","continuous",1,"left","right",8,"on"
"252",600.167,"END",0,1,"green","continuous",1,"left","right",8,"on"
"2541",600.3,"END",0,6,"red","continuous",1,"right","left",8,"on"
"263",600.237,"END",0,2,"royalblue","continuous",1,"right","left",8,"on"
"2651",600.339,"END",0,5,"white","continuous",1,"left","right",8,"on"
"2771",600.933,"END",0,2,"blue","continuous",1,"right","left",10,"on"
"294",600.034,"END",0,1,"green","continuous",1,"left","right",10,"on"
"307",600,"END",0,2,"green","flashing",2,"right","left",10,"on"
"3201",601.8,"END",0,1,"red","flashing",2,"left","right",10,"on"
"3261",601.367,"END",0,1,"amber","continuous",1,"right","left",13,"on"
"345",600.6,"END",0,4,"blue","continuous",1,"left","right",13,"on"
"3471",599.324,"END",0,2,"green","continuous",1,"left","right",13,"on"
"3551",592.934,"END",0,6,"red","continuous",1,"right","left",13,"on"
"373",600.934,"END",0,3,"royalblue","continuous",1,"right","left",13,"on"
"393",601.335,"END",0,6,"white","continuous",1,"left","right",13,"on"
"404",599.867,"END",0,1,"blue","flashing",2,"right","left",13,"on"
"419",599.233,"END",0,2,"red","flashing",2,"left","right",13,"on"
