,time,code,class,light_order,light_colour,light_type,type_order,light_side,control_side,species,trial_number,wing_length,mls,light_mode,control_light,LightFact,TypeFact,total_new
237,600,END,0,3,royalblue,flashing,2,left,right,spotted,11,38.35,under,on,light,royalblue,flashing,300
238,600,END,0,4,white,flashing,2,right,left,spotted,11,38.35,under,on,control,white,flashing,300
239,600.434,END,0,4,green,continuous,2,right,left,smalleye,12,42.69,under,on,light,green,continuous,300
240,601.692,END,0,3,red,continuous,1,left,right,smalleye,12,42.69,under,on,control,red,continuous,300
241,601.469,END,0,5,white,continuous,2,left,right,smalleye,12,42.69,under,on,control,white,continuous,300
242,600.475,END,0,6,amber,flashing,1,right,left,smalleye,12,42.69,under,on,control,amber,flashing,300
243,381.767,END,0,2,blue,flashing,1,right,left,smalleye,12,42.69,under,on,light,blue,flashing,300
244,600.936,END,0,3,red,flashing,1,left,right,smalleye,12,42.69,under,on,control,red,flashing,300
245,600.758,END,0,4,white,flashing,1,right,left,smalleye,12,42.69,under,on,light,white,flashing,300
246,600.734,END,0,5,amber,continuous,1,right,left,smalleye,13,41.709,under,on,light,amber,continuous,300
247,600.669,END,0,4,blue,continuous,2,left,right,smalleye,13,41.709,under,on,control,blue,continuous,300
248,600.701,END,0,6,royalblue,continuous,1,left,right,smalleye,13,41.709,under,on,control,royalblue,continuous,300
249,600,END,0,6,amber,flashing,2,left,right,smalleye,13,41.709,under,on,control,amber,flashing,300
250,600.267,END,0,6,blue,flashing,2,right,left,smalleye,13,41.709,under,on,light,blue,flashing,300
251,600.169,END,0,4,royalblue,flashing,2,left,right,smalleye,13,41.709,under,on,control,royalblue,flashing,300
252,600.599,END,0,3,white,flashing,2,right,left,smalleye,13,41.709,under,on,light,white,flashing,300
253,600,END,0,5,amber,flashing,2,left,right,blonde,14,19.584,under,on,control,amber,flashing,300
254,600,END,0,4,blue,flashing,2,right,left,blonde,14,19.584,under,on,light,blue,flashing,300
255,600,END,0,6,red,flashing,2,right,left,blonde,14,19.584,under,on,light,red,flashing,300
256,600.143,END,0,6,green,continuous,2,left,right,blonde,15,18.886,under,on,light,green,continuous,300
257,600,END,0,5,amber,flashing,1,right,left,blonde,15,18.886,under,on,light,amber,flashing,300
258,600,END,0,6,green,flashing,1,left,right,blonde,15,18.886,under,on,control,green,flashing,300
259,600,END,0,3,red,flashing,1,right,left,blonde,15,18.886,under,on,light,red,flashing,300
260,600,END,0,4,white,flashing,1,left,right,blonde,15,18.886,under,on,control,white,flashing,300
261,600,END,0,5,green,continuous,1,left,right,blonde,16,16.53,under,on,control,green,continuous,300
262,600,END,0,4,red,continuous,1,right,left,blonde,16,16.53,under,on,light,red,continuous,300
263,600,END,0,6,royalblue,continuous,1,right,left,blonde,16,16.53,under,on,light,royalblue,continuous,300
264,600,END,0,3,amber,flashing,2,left,right,blonde,16,16.53,under,on,control,amber,flashing,300
265,600,END,0,5,blue,flashing,2,left,right,blonde,16,16.53,under,on,control,blue,flashing,300
266,600,END,0,4,green,flashing,2,right,left,blonde,16,16.53,under,on,light,green,flashing,300
267,600,END,0,6,royalblue,flashing,2,left,right,blonde,16,16.53,under,on,light,royalblue,flashing,300
268,600,END,0,1,amber,continuous,2,right,left,spotted,17,18.007,under,on,light,amber,continuous,300
269,600,END,0,5,blue,continuous,2,right,left,spotted,17,18.007,under,on,light,blue,continuous,300
270,600,END,0,6,green,continuous,2,left,right,spotted,17,18.007,under,on,control,green,continuous,300
271,600,END,0,3,red,continuous,2,right,left,spotted,17,18.007,under,on,light,red,continuous,300
272,600,END,0,2,royalblue,continuous,2,left,right,spotted,17,18.007,under,on,control,royalblue,continuous,300
