"","time","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","wing_length","mls","light_mode"
"463",15.334,"stationary_light",2,"1","red","flashing",1,"left","right","blonde","7",22.092,"under","off"
"473",47.166,"stationary_light_stop",6,"1","red","flashing",1,"left","right","blonde","7",22.092,"under","off"
"483",71.333,"stationary_light",2,"1","red","flashing",1,"left","right","blonde","7",22.092,"under","off"
"493",93.434,"stationary_light_stop",6,"1","red","flashing",1,"left","right","blonde","7",22.092,"under","off"
"503",223.556,"stationary_control",4,"1","red","flashing",1,"left","right","blonde","7",22.092,"under","off"
"514",259.271,"stationary_control_stop",8,"1","red","flashing",1,"left","right","blonde","7",22.092,"under","off"
"562",15.868,"stationary_light",2,"4","royalblue","flashing",1,"right","left","blonde","7",22.092,"under","off"
"582",15.533,"stationary_control",4,"5","white","flashing",1,"left","right","blonde","7",22.092,"under","off"
"1103",15,"stationary_control",4,"6","amber","continuous",1,"right","left","blonde","8",23.02,"under","off"
"316",15,"stationary_light",2,"3","blue","continuous",1,"left","right","blonde","8",23.02,"under","off"
"2013",15,"stationary_control",4,"4","royalblue","continuous",1,"right","left","blonde","8",23.02,"under","off"
"2213",15,"stationary_light",2,"5","white","continuous",1,"left","right","blonde","8",23.02,"under","off"
"2713",294.521,"stationary_control",4,"3","amber","flashing",2,"right","left","blonde","8",23.02,"under","off"
"304",15.399,"stationary_control",4,"5","blue","flashing",2,"right","left","blonde","8",23.02,"under","off"
"324",15.799,"stationary_light",2,"1","green","flashing",2,"right","left","blonde","8",23.02,"under","off"
"334",62.033,"stationary_light_stop",6,"1","green","flashing",2,"right","left","blonde","8",23.02,"under","off"
"416",15.534,"stationary_light",2,"4","red","flashing",2,"left","right","blonde","8",23.02,"under","off"
"516",15.499,"stationary_light",2,"6","white","flashing",2,"left","right","blonde","8",23.02,"under","off"
"1104",38.294,"stationary_light",2,"1","amber","continuous",2,"right","left","blonde","9",22.637,"under","off"
"299",164.8,"stationary_light_stop",6,"1","amber","continuous",2,"right","left","blonde","9",22.637,"under","off"
"318",245.367,"stationary_light",2,"1","amber","continuous",2,"right","left","blonde","9",22.637,"under","off"
"417",321.966,"stationary_light_stop",6,"1","amber","continuous",2,"right","left","blonde","9",22.637,"under","off"
"1414",15,"stationary_control",4,"4","blue","continuous",2,"left","right","blonde","9",22.637,"under","off"
"1614",15.134,"stationary_control",4,"2","green","continuous",2,"left","right","blonde","9",22.637,"under","off"
"1714",69.234,"stationary_control_stop",8,"2","green","continuous",2,"left","right","blonde","9",22.637,"under","off"
"2014",279.733,"stationary_control",4,"2","green","continuous",2,"left","right","blonde","9",22.637,"under","off"
"2414",15,"stationary_light",2,"3","red","continuous",2,"right","left","blonde","9",22.637,"under","off"
"2614",15,"stationary_light",2,"5","royalblue","continuous",2,"right","left","blonde","9",22.637,"under","off"
"2814",15,"stationary_control",4,"6","white","continuous",2,"left","right","blonde","9",22.637,"under","off"
"305",15,"stationary_control",4,"4","amber","flashing",1,"right","left","blonde","9",22.637,"under","off"
"325",15,"stationary_light",2,"3","blue","flashing",1,"left","right","blonde","9",22.637,"under","off"
"345",15,"stationary_light",2,"5","green","flashing",1,"left","right","blonde","9",22.637,"under","off"
"365",15,"stationary_control",4,"6","red","flashing",1,"right","left","blonde","9",22.637,"under","off"
"385",15,"stationary_light",2,"1","royalblue","flashing",1,"left","right","blonde","9",22.637,"under","off"
"405",15,"stationary_control",4,"2","white","flashing",1,"right","left","blonde","9",22.637,"under","off"
"1105",15.9,"stationary_light",2,"5","amber","continuous",2,"left","right","spotted","10",33.765,"under","off"
"320",15.833,"stationary_light",2,"3","blue","continuous",2,"left","right","spotted","10",33.765,"under","off"
"518",18.595,"stationary_control",4,"1","green","continuous",2,"left","right","spotted","10",33.765,"under","off"
"615",92.266,"stationary_control_stop",8,"1","green","continuous",2,"left","right","spotted","10",33.765,"under","off"
"1615",15.368,"stationary_control",4,"4","red","continuous",2,"right","left","spotted","10",33.765,"under","off"
"2315",15.633,"stationary_control",4,"6","white","continuous",2,"right","left","spotted","10",33.765,"under","off"
"306",15.233,"stationary_light",2,"5","blue","flashing",1,"right","left","spotted","10",33.765,"under","off"
"3110",104.934,"stationary_light_stop",6,"5","blue","flashing",1,"right","left","spotted","10",33.765,"under","off"
"396",86.533,"stationary_control",4,"2","green","flashing",2,"left","right","spotted","10",33.765,"under","off"
"425",15,"stationary_light",2,"3","red","flashing",1,"right","left","spotted","10",33.765,"under","off"
"445",15.467,"stationary_control",4,"4","royalblue","flashing",1,"left","right","spotted","10",33.765,"under","off"
"1106",15,"stationary_control",4,"1","amber","continuous",1,"right","left","spotted","11",38.35,"under","off"
"327",15,"stationary_light",2,"4","blue","continuous",1,"left","right","spotted","11",38.35,"under","off"
"520",15,"stationary_light",2,"2","green","continuous",1,"left","right","spotted","11",38.35,"under","off"
"717",15,"stationary_control",4,"3","red","continuous",1,"right","left","spotted","11",38.35,"under","off"
"916",15,"stationary_light",2,"6","royalblue","continuous",1,"left","right","spotted","11",38.35,"under","off"
"1116",15,"stationary_control",4,"5","white","continuous",1,"right","left","spotted","11",38.35,"under","off"
"1316",15,"stationary_control",4,"2","amber","flashing",2,"right","left","spotted","11",38.35,"under","off"
"1516",15,"stationary_control",4,"6","blue","flashing",2,"right","left","spotted","11",38.35,"under","off"
"1716",15,"stationary_light",2,"3","green","flashing",2,"left","right","spotted","11",38.35,"under","off"
"1916",15,"stationary_light",2,"1","red","flashing",2,"left","right","spotted","11",38.35,"under","off"
"2116",15,"stationary_light",2,"3","royalblue","flashing",2,"left","right","spotted","11",38.35,"under","off"
"2316",15,"stationary_control",4,"4","white","flashing",2,"right","left","spotted","11",38.35,"under","off"
