"","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","wing_length","mls","light_mode","control_light","LightFact","TypeFact","total_new"
"239","END",0,"4","green","continuous","2","right","left","smalleye","12",42.69,"under","on","light","green","continuous",300
"240","END",0,"3","red","continuous","1","left","right","smalleye","12",42.69,"under","on","control","red","continuous",300
"241","END",0,"5","white","continuous","2","left","right","smalleye","12",42.69,"under","on","control","white","continuous",300
"242","END",0,"6","amber","flashing","1","right","left","smalleye","12",42.69,"under","on","control","amber","flashing",300
"243","END",0,"2","blue","flashing","1","right","left","smalleye","12",42.69,"under","on","light","blue","flashing",300
"244","END",0,"3","red","flashing","1","left","right","smalleye","12",42.69,"under","on","control","red","flashing",300
"245","END",0,"4","white","flashing","1","right","left","smalleye","12",42.69,"under","on","light","white","flashing",300
"246","END",0,"5","amber","continuous","1","right","left","smalleye","13",41.709,"under","on","light","amber","continuous",300
"247","END",0,"4","blue","continuous","2","left","right","smalleye","13",41.709,"under","on","control","blue","continuous",300
"248","END",0,"6","royalblue","continuous","1","left","right","smalleye","13",41.709,"under","on","control","royalblue","continuous",300
"249","END",0,"6","amber","flashing","2","left","right","smalleye","13",41.709,"under","on","control","amber","flashing",300
"250","END",0,"6","blue","flashing","2","right","left","smalleye","13",41.709,"under","on","light","blue","flashing",300
"251","END",0,"4","royalblue","flashing","2","left","right","smalleye","13",41.709,"under","on","control","royalblue","flashing",300
"252","END",0,"3","white","flashing","2","right","left","smalleye","13",41.709,"under","on","light","white","flashing",300
"253","END",0,"5","amber","flashing","2","left","right","blonde","14",19.584,"under","on","control","amber","flashing",300
"254","END",0,"4","blue","flashing","2","right","left","blonde","14",19.584,"under","on","light","blue","flashing",300
"255","END",0,"6","red","flashing","2","right","left","blonde","14",19.584,"under","on","light","red","flashing",300
"256","END",0,"6","green","continuous","2","left","right","blonde","15",18.886,"under","on","light","green","continuous",300
"257","END",0,"5","amber","flashing","1","right","left","blonde","15",18.886,"under","on","light","amber","flashing",300
"258","END",0,"6","green","flashing","1","left","right","blonde","15",18.886,"under","on","control","green","flashing",300
"259","END",0,"3","red","flashing","1","right","left","blonde","15",18.886,"under","on","light","red","flashing",300
"260","END",0,"4","white","flashing","1","left","right","blonde","15",18.886,"under","on","control","white","flashing",300
"261","END",0,"5","green","continuous","1","left","right","blonde","16",16.53,"under","on","control","green","continuous",300
"262","END",0,"4","red","continuous","1","right","left","blonde","16",16.53,"under","on","light","red","continuous",300
"263","END",0,"6","royalblue","continuous","1","right","left","blonde","16",16.53,"under","on","light","royalblue","continuous",300
"264","END",0,"3","amber","flashing","2","left","right","blonde","16",16.53,"under","on","control","amber","flashing",300
"265","END",0,"5","blue","flashing","2","left","right","blonde","16",16.53,"under","on","control","blue","flashing",300
"266","END",0,"4","green","flashing","2","right","left","blonde","16",16.53,"under","on","light","green","flashing",300
"267","END",0,"6","royalblue","flashing","2","left","right","blonde","16",16.53,"under","on","light","royalblue","flashing",300
"268","END",0,"1","amber","continuous","2","right","left","spotted","17",18.007,"under","on","light","amber","continuous",300
"269","END",0,"5","blue","continuous","2","right","left","spotted","17",18.007,"under","on","light","blue","continuous",300
"270","END",0,"6","green","continuous","2","left","right","spotted","17",18.007,"under","on","control","green","continuous",300
"271","END",0,"3","red","continuous","2","right","left","spotted","17",18.007,"under","on","light","red","continuous",300
"272","END",0,"2","royalblue","continuous","2","left","right","spotted","17",18.007,"under","on","control","royalblue","continuous",300
"273","END",0,"4","white","continuous","2","left","right","spotted","17",18.007,"under","on","control","white","continuous",300
"274","END",0,"1","amber","flashing","1","right","left","spotted","17",18.007,"under","on","control","amber","flashing",300
"275","END",0,"6","blue","flashing","1","left","right","spotted","17",18.007,"under","on","light","blue","flashing",300
"276","END",0,"2","green","flashing","1","left","right","spotted","17",18.007,"under","on","light","green","flashing",300
